,Solver,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Time,Data
0,linear,0.7441860465116278,0.8095238095238096,0.708333333333333,0.7555555555555559,0.74890350877193,0.8231754000298679,Scaled
1,poly,0.7209302325581396,0.8333333333333331,0.625,0.714285714285714,0.733552631578947,0.8178677998948842,Scaled
2,rbf,0.7209302325581396,0.75,0.75,0.75,0.7171052631578947,0.8396866000257432,Scaled
3,sigmoid,0.6511627906976746,0.6451612903225807,0.8333333333333331,0.7272727272727275,0.6271929824561403,0.8216069000773132,Scaled
