Model,Param_1,Param_2,Param_3,Accuracy,Precision,Recall,F1_Score,Time,Data
SVM,linear,0,0,0.799435484,0.734960567,0.700036989,0.702027518,1.8565763,ISRO
SVM,poly,0,0,0.770080645,0.929658009,0.356137301,0.50144254,1.8829499,ISRO
SVM,rbf,0,0,0.825866935,0.772711344,0.712739323,0.733162689,2.0269148,ISRO
SVM,sigmoid,0,0,0.716008065,0.597107089,0.638943063,0.604164974,1.9483795,ISRO
RF,50,5,0,0.811330645,0.796604673,0.631021746,0.693050915,3.9891253,S
RF,50,10,0,0.814475806,0.789005994,0.645163382,0.696897036,4.055667,S
RF,100,5,0,0.808870968,0.802313242,0.609479475,0.680321471,7.6802819,S
RF,100,10,0,0.810604839,0.79127356,0.632081575,0.691815552,7.8901323,S
RF,300,5,0,0.808306452,0.792267288,0.626122978,0.688582479,22.4159454,S
RF,300,10,0,0.822822581,0.803248529,0.661096707,0.715429798,23.3038687,S
RF,50,5,0,0.796814516,0.700743756,0.741110063,0.712453478,5.7967353,SO
RF,50,10,0,0.814677419,0.742173438,0.726509477,0.726237021,6.1738711,SO
RF,100,5,0,0.802641129,0.709806517,0.757582127,0.722805277,9.9830195,SO
RF,100,10,0,0.810362903,0.733366624,0.735145619,0.724317437,10.5513952,SO
RF,300,5,0,0.797600806,0.699739205,0.759213071,0.716552288,26.7045319,SO
RF,300,10,0,0.805201613,0.717714646,0.744218843,0.720703002,27.5846421,SO
RF,50,5,0,0.805141129,0.788608558,0.615251905,0.677069815,4.6644404,IS
RF,50,10,0,0.805201613,0.804400766,0.599947432,0.673724363,4.776519,IS
RF,100,5,0,0.808971774,0.794758297,0.617438976,0.681637082,8.934571,IS
RF,100,10,0,0.812782258,0.795149351,0.630887916,0.691213456,9.2542959,IS
RF,300,5,0,0.807197581,0.796298091,0.604376705,0.673328794,26.0327532,IS
RF,300,10,0,0.815987903,0.801723055,0.63810148,0.698131005,27.0367872,IS
RF,50,5,0,0.788024194,0.695871614,0.716716088,0.693976631,6.7516047,ISO
RF,50,10,0,0.805665323,0.741984432,0.696761542,0.705158839,6.9798113,ISO
RF,100,5,0,0.791290323,0.697404679,0.716709147,0.695763813,11.7235255,ISO
RF,100,10,0,0.803810484,0.741971889,0.694609805,0.702984853,12.3266902,ISO
RF,300,5,0,0.783770161,0.697330503,0.691207632,0.682555197,31.6138158,ISO
RF,300,10,0,0.802641129,0.750429071,0.670722859,0.695508544,33.4109573,ISO
RF,50,5,0,0.69921371,0.684547619,0.268323134,0.369473358,3.5898878,SR
RF,50,10,0,0.708568548,0.675,0.330883166,0.432561792,3.7257079,SR
RF,100,5,0,0.694798387,0.665087302,0.243442796,0.337480725,6.8999664,SR
RF,100,10,0,0.707318548,0.674122655,0.327054514,0.421972086,7.2013932,SR
RF,300,5,0,0.690907258,0.684142857,0.210119119,0.300474098,20.1043359,SR
RF,300,10,0,0.718870968,0.717484127,0.340032425,0.437953457,21.1984915,SR
RF,50,5,0,0.696129032,0.59221312,0.445295861,0.487060206,5.1964586,SRO
RF,50,10,0,0.711995968,0.642984127,0.403622074,0.478277036,5.3953303,SRO
RF,100,5,0,0.709193548,0.622681818,0.434943383,0.4975929,8.8101955,SRO
RF,100,10,0,0.711975806,0.643195527,0.395629162,0.470762323,9.1975756,SRO
RF,300,5,0,0.723346774,0.672049007,0.44342244,0.512934852,23.0152108,SRO
RF,300,10,0,0.726592742,0.684099567,0.412178851,0.490653539,24.2414633,SRO
RF,50,5,0,0.720040323,0.810571429,0.269317477,0.38128624,3.6313787,ISR
RF,50,10,0,0.72703629,0.801952381,0.311658541,0.428070704,3.7503841,ISR
RF,100,5,0,0.715423387,0.805666667,0.241446645,0.354992762,6.8958389,ISR
RF,100,10,0,0.738387097,0.833142857,0.325187734,0.449131807,7.2540463,ISR
RF,300,5,0,0.715564516,0.940666667,0.215063286,0.333743764,20.1710359,ISR
RF,300,10,0,0.738427419,0.86647619,0.315059457,0.442748999,21.1187992,ISR
RF,50,5,0,0.730302419,0.669626263,0.460780863,0.524824929,5.266818,ISRO
RF,50,10,0,0.732318548,0.735886724,0.392870829,0.488854718,5.3766847,ISRO
RF,100,5,0,0.753447581,0.769088023,0.451353898,0.548708967,8.8211469,ISRO
RF,100,10,0,0.755,0.793903319,0.43068651,0.538300292,9.1118223,ISRO
RF,300,5,0,0.767701613,0.816672439,0.475341433,0.574857859,23.0320482,ISRO
RF,300,10,0,0.76766129,0.847238095,0.425466788,0.543404674,24.0550819,ISRO
GBT,3,0,0,0.848205645,0.823682373,0.71739833,0.756926287,7.9843326,S
GBT,5,0,0,0.836733871,0.810197136,0.696156001,0.735964586,9.1926734,S
GBT,10,0,0,0.839314516,0.813646187,0.696760396,0.739652754,9.280708,S
GBT,3,0,0,0.831028226,0.774484293,0.733175426,0.742945813,12.0407419,SO
GBT,5,0,0,0.834233871,0.77616453,0.748170153,0.752612081,14.1061672,SO
GBT,10,0,0,0.824153226,0.76195918,0.735039617,0.736366774,14.5040163,SO
GBT,3,0,0,0.824032258,0.791664336,0.688066218,0.725326115,16.0586332,IS
GBT,5,0,0,0.823387097,0.781148934,0.695194645,0.725804729,18.5527239,IS
GBT,10,0,0,0.820887097,0.772083278,0.696861312,0.722984027,19.2835061,IS
GBT,3,0,0,0.831733871,0.772531913,0.739892705,0.745543544,22.8807175,ISO
GBT,5,0,0,0.821532258,0.749187716,0.734274454,0.731403381,25.9372344,ISO
GBT,10,0,0,0.826633065,0.757879691,0.734546627,0.737471776,26.9772243,ISO
GBT,3,0,0,0.684879032,0.576401182,0.402029817,0.450194332,2.9730192,SR
GBT,5,0,0,0.678366935,0.545909701,0.384479145,0.435836624,3.4071201,SR
GBT,10,0,0,0.670241935,0.538064214,0.38510735,0.431351036,3.4352129,SR
GBT,3,0,0,0.673971774,0.549533883,0.478206842,0.490080469,5.0075892,SRO
GBT,5,0,0,0.662641129,0.517284604,0.472552164,0.479568803,5.928506,SRO
GBT,10,0,0,0.653850806,0.51073533,0.458367071,0.463361605,5.9859958,SRO
GBT,3,0,0,0.754899194,0.729358697,0.506657594,0.576134785,2.8923185,ISR
GBT,5,0,0,0.744737903,0.703969863,0.499986118,0.563129336,3.3387814,ISR
GBT,10,0,0,0.751028226,0.720073427,0.51129037,0.577034001,3.4347893,ISR
GBT,3,0,0,0.758669355,0.693794715,0.571102407,0.609969967,4.8621792,ISRO
GBT,5,0,0,0.755685484,0.677164863,0.597335488,0.61920394,5.547258,ISRO
GBT,10,0,0,0.765040323,0.710515596,0.587363999,0.625076253,5.8229938,ISRO
PFN,0,0,0,0.708366935,0.632329393,0.42480306,0.488459673,27.2556462,SR
PFN,0,0,0,0.706532258,0.630535132,0.422116393,0.484953098,30.0799719,SRO
PFN,0,0,0,0.71983871,0.678886003,0.424690728,0.497715217,26.0087761,ISR
PFN,0,0,0,0.719778226,0.689906205,0.385877929,0.474723049,29.5299424,ISRO
MLP,False,20,0,0.9136290322580646,0.925590798090798,0.8267504946034359,0.8661545842126942,416.54970579996007,S
MLP,False,40,0,0.9173991935483872,0.9341549561549561,0.826006793859735,0.871644603940054,409.15128619997995,S
MLP,True,20,0,0.9117137096774195,0.9228991008991008,0.8274486853016265,0.8652543673194635,432.6164221999934,S
MLP,True,40,0,0.9117741935483872,0.9252715340215338,0.830535562476739,0.8679840910660579,444.21868029999314,S
MLP,False,20,0,0.9092741935483872,0.8917353757353758,0.8508757582286992,0.862599901255098,472.8098314999952,SO
MLP,False,40,0,0.9149596774193549,0.9078277833277832,0.8533733162262572,0.8725635793963292,472.58455599995796,SO
MLP,True,20,0,0.9129435483870968,0.9023191253191253,0.847943523796465,0.8664710077932257,487.6153237000108,SO
MLP,True,40,0,0.9124798387096774,0.8981930716342481,0.8607062251474017,0.8708078019555151,492.26199650001945,SO
MLP,False,20,0,0.931350806451613,0.9537843822843821,0.844579387932329,0.8884079574862453,421.7763226000243,IS
MLP,False,40,0,0.9269354838709677,0.9418384948384947,0.8506197527962233,0.8849186591467989,427.1110573000042,IS
MLP,True,20,0,0.9337903225806451,0.9519365634365634,0.8597672752084518,0.897988501477939,437.4620386000024,IS
MLP,True,40,0,0.9231048387096774,0.9345064935064936,0.8461195699725111,0.8799153669271855,437.8673002999858,IS
MLP,False,20,0,0.9294153225806451,0.9278399933399933,0.8771551259198317,0.8959040118162866,477.11546250001993,ISO
MLP,False,40,0,0.9257862903225808,0.9131416361416362,0.8777589469354175,0.8884287873164908,472.3105701999739,ISO
MLP,True,20,0,0.9230040322580646,0.9244678654678655,0.861483281424458,0.8831149601802336,478.32298170001013,ISO
MLP,True,40,0,0.9213508064516129,0.9095124203282099,0.8740981632746337,0.8843807500143633,482.86200640001334,ISO
MLP,False,20,0,0.9517338709677421,0.9532228327228327,0.9019021174903529,0.9234108649022366,417.41415550000966,SR
MLP,False,40,0,0.9605645161290323,0.9617653457653458,0.920059848648084,0.9366161346774465,417.07149599998957,SR
MLP,True,20,0,0.960625,0.9587299367299367,0.9187488067488068,0.9342507298744056,427.9283158000326,SR
MLP,True,40,0,0.960625,0.9524236596736597,0.9294488844488845,0.9363379951855925,429.3281873999513,SR
MLP,False,20,0,0.9524193548387098,0.9428262848262848,0.9192074787957142,0.9278645368598103,466.6220169000444,SRO
MLP,False,40,0,0.965625,0.9636188256188256,0.9324620934620934,0.944717249351009,465.68812310002977,SRO
MLP,True,20,0,0.9593145161290323,0.954547397047397,0.9206610056610057,0.9340063742452489,478.3533674000064,SRO
MLP,True,40,0,0.9581048387096774,0.9493667998668,0.923945054945055,0.9322301357840596,476.5358844999573,SRO
MLP,False,20,0,0.96125,0.967891108891109,0.9133045843045844,0.9296332018810936,418.7655751000275,ISR
MLP,False,40,0,0.961875,0.9691810966810968,0.9117976467976469,0.9319428698236749,417.11257250001654,ISR
MLP,True,20,0,0.965625,0.9642326007326009,0.9249962814962815,0.9401290354936453,427.224589999998,ISR
MLP,True,40,0,0.96,0.9635805860805859,0.9119161949161949,0.9292911661437978,430.2120423000306,ISR
MLP,False,20,0,0.956875,0.9541556776556778,0.9099856809856809,0.9254925359363085,477.2029186,ISRO
MLP,False,40,0,0.96,0.9602948717948717,0.9171396381396382,0.932032301386156,475.37072679999983,ISRO
MLP,True,20,0,0.956875,0.9495466755466757,0.9151463536463537,0.9259290401673341,485.2529106999864,ISRO
MLP,True,40,0,0.9574798387096775,0.9504986124986126,0.9185756465756466,0.9305741986524865,483.87326930003474,ISRO
